vendorId,productId,date,window,window_order,hourSin,hourCos,weekdaySin,weekdayCos,isWeekend,isFestivalWindow,festivalType,forecastTemperatureC,forecastRainProbability,localityTier,hotspotDensityScore,availableStock,stockoutFlag,unitsSoldNextWindow,lag1,lag7,rolling7DayMean,rolling7DayStd,rolling28DayMean,sameSlot4WeekMean,recentTrend
V100,Combo_Pack,2026-01-08,morning,0,0.866,-0.5,0.4339,-0.901,0,0,none,30.5,0.54,residential_budget,33,22.8,0,17.8,17.7,19.4,19.521428571428572,3.7566717207632627,19.521428571428572,22.375,1.0
V100,Combo_Pack,2026-01-08,evening,1,-1.0,-0.0,0.4339,-0.901,0,0,none,30.5,0.54,residential_budget,33,14.8,0,14.3,17.8,17.3,19.407142857142855,3.784881724747771,19.40666666666667,16.725,1.0000245374687144
V100,Combo_Pack,2026-01-09,morning,0,0.866,-0.5,-0.4339,-0.901,0,0,none,28.6,0.35,residential_budget,33,26.2,0,24.8,14.3,20.0,19.192857142857143,3.9925824081306422,19.0875,21.8,1.005519693142483
V100,Combo_Pack,2026-01-09,evening,1,-1.0,-0.0,-0.4339,-0.901,0,0,none,28.6,0.35,residential_budget,33,23.1,0,17.9,24.8,18.7,19.535714285714285,4.264091055251109,19.423529411764704,17.175,1.0057757203426494
V100,Combo_Pack,2026-01-10,morning,0,0.866,-0.5,-0.9749,-0.2225,1,0,none,28.3,0.36,residential_budget,33,20.2,1,20.2,17.9,25.0,19.478571428571428,4.281476842871387,19.33888888888889,23.5,1.0072228834078878
V100,Combo_Pack,2026-01-10,evening,1,-1.0,-0.0,-0.9749,-0.2225,1,0,none,28.3,0.36,residential_budget,33,23.1,1,23.1,20.2,16.5,19.135714285714283,3.9874046201000968,19.38421052631579,17.375,0.9871804817501258
V100,Combo_Pack,2026-01-11,morning,0,0.866,-0.5,-0.7818,0.6235,1,0,none,29.7,0.21,residential_budget,33,27.2,0,25.6,23.1,20.1,19.607142857142858,4.041603696499749,19.57,21.95,1.0018979487553836
V100,Combo_Pack,2026-01-11,evening,1,-1.0,-0.0,-0.7818,0.6235,1,0,none,29.7,0.21,residential_budget,33,21.9,1,21.9,25.6,12.5,20.0,4.3488283125811815,19.857142857142858,18.25,1.0071942446043165
V100,Combo_Pack,2026-01-12,morning,0,0.866,-0.5,0.0,1.0,0,0,none,31.1,0.16,residential_budget,33,24.3,1,24.3,21.9,18.0,20.67142857142857,3.7917782658776886,19.95,22.1,1.0361618331543143
V100,Combo_Pack,2026-01-12,evening,1,-1.0,-0.0,0.0,1.0,0,0,none,31.1,0.16,residential_budget,33,14.6,1,14.6,24.3,17.1,21.12142857142857,3.824049116885352,20.139130434782608,19.299999999999997,1.0487755983222304
V100,Combo_Pack,2026-01-13,morning,0,0.866,-0.5,0.7818,0.6235,0,0,none,32.4,0.12,residential_budget,33,19.1,1,19.1,14.6,26.4,20.942857142857143,4.076332115576883,19.908333333333335,23.725,1.0519643604616395
V100,Combo_Pack,2026-01-13,evening,1,-1.0,-0.0,0.7818,0.6235,0,0,none,32.4,0.12,residential_budget,33,13.6,1,13.6,19.1,19.6,20.42142857142857,3.7807566543115247,19.875999999999998,19.375,1.0274415662823795
V100,Combo_Pack,2026-01-14,morning,0,0.866,-0.5,0.9749,-0.2225,0,1,harvestFestival,27.6,0.06,residential_budget,33,26.2,1,26.2,13.6,25.0,19.99285714285714,4.19806993853023,19.634615384615383,22.299999999999997,1.0182454176577584
V100,Combo_Pack,2026-01-14,evening,1,-1.0,-0.0,0.9749,-0.2225,0,1,harvestFestival,27.6,0.06,residential_budget,33,30.8,1,30.8,26.2,17.7,20.07857142857143,4.3186854430537025,19.87777777777778,18.3,1.0101014133993451
V100,Combo_Pack,2026-01-15,morning,0,0.866,-0.5,0.4339,-0.901,0,1,harvestFestival,29.2,0.09,residential_budget,33,31.9,1,31.9,30.8,17.8,21.014285714285716,5.110299877224899,20.267857142857142,23.8,1.0368281938325992
V100,Combo_Pack,2026-01-15,evening,1,-1.0,-0.0,0.4339,-0.901,0,1,harvestFestival,29.2,0.09,residential_budget,33,31.6,0,24.5,31.9,14.3,22.021428571428572,5.774370238246905,20.66896551724138,20.225,1.0654344821011488
V100,Combo_Pack,2026-01-16,morning,0,0.866,-0.5,-0.4339,-0.901,0,1,harvestFestival,26.5,0.26,residential_budget,33,31.3,1,31.3,24.5,24.8,22.75,5.353323913521102,20.796666666666667,25.375,1.0939253085430358
V100,Combo_Pack,2026-01-16,evening,1,-1.0,-0.0,-0.4339,-0.901,0,1,harvestFestival,26.5,0.26,residential_budget,33,33.5,0,26.5,31.3,17.9,23.214285714285715,5.807403384123926,21.135483870967743,20.875,1.0983560090702948
V100,Combo_Pack,2026-01-17,morning,0,0.866,-0.5,-0.9749,-0.2225,1,0,none,34.1,0.42,residential_budget,33,21.6,1,21.6,26.5,20.2,23.82857142857143,5.6548724492761435,21.303125,27.125,1.1185481673966344
V100,Combo_Pack,2026-01-17,evening,1,-1.0,-0.0,-0.9749,-0.2225,1,0,none,34.1,0.42,residential_budget,33,9.6,1,9.6,21.6,23.1,23.928571428571427,5.597860658862804,21.312121212121212,23.85,1.1227681745241818
V100,Combo_Pack,2026-01-18,morning,0,0.866,-0.5,-0.7818,0.6235,1,0,none,29.8,0.19,residential_budget,33,22.7,1,22.7,9.6,25.6,22.964285714285715,6.787840615378369,20.96764705882353,27.75,1.0952247359878164
V100,Combo_Pack,2026-01-18,evening,1,-1.0,-0.0,-0.7818,0.6235,1,0,none,29.8,0.19,residential_budget,33,30.0,0,24.6,22.7,21.9,22.757142857142856,6.74533619914978,21.017142857142858,22.849999999999998,1.08278955954323
V100,Combo_Pack,2026-01-19,morning,0,0.866,-0.5,0.0,1.0,0,0,none,32.0,0.27,residential_budget,33,23.8,1,23.8,24.6,24.3,22.95,6.757531410894865,21.116666666666667,26.875,1.0868192580899763
V100,Combo_Pack,2026-01-19,evening,1,-1.0,-0.0,0.0,1.0,0,0,none,32.0,0.27,residential_budget,33,17.7,0,15.0,23.8,14.6,22.914285714285715,6.751165955465895,21.18918918918919,21.3,1.0814139941690961
